source_table,target_column,model,split_type,repeat,n_train,n_test,n_numeric_features,n_categorical_features,rmse,mae,r2,spearman,top_1pct_recovery,top_5pct_recovery,top_10pct_recovery,ndcg_10pct,hgb_skipped_due_to_categorical_features,feature_source,target_family,feature_table,task,gas,target_property,target_unit,split_group_column,descriptor_family
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,8,48000,12000,5,0,0.2309051632284156,0.17645209908333329,-0.17883665808064309,,0.016666666666666666,0.055,0.0875,0.3547525234594948,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,8,48000,12000,5,0,0.12187014782436156,0.05480494767738043,0.6716167324260927,0.7548746315290927,0.125,0.22833333333333333,0.31916666666666665,0.6520505591320735,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,8,48000,12000,5,0,0.12134619345794398,0.05456133380160289,0.6744342884429169,0.7781120913257504,0.058333333333333334,0.225,0.2966666666666667,0.6511290127082899,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,8,48000,12000,5,0,0.133135763605543,0.06416242682731715,0.6080995057149932,0.7526522175164144,0.041666666666666664,0.12666666666666668,0.23583333333333334,0.6143977627426639,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,8,48000,12000,5,0,0.14833283401614172,0.07055743376983217,0.5135245451012203,0.7515091469896324,0.05,0.13666666666666666,0.22083333333333333,0.6171904298643648,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,dummy,random,9,48000,12000,5,0,0.22196879146664253,0.17467908183333333,-0.1732826614317322,,0.0,0.03666666666666667,0.08916666666666667,0.36752914921659885,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,ridge,random,9,48000,12000,5,0,0.1106282492122363,0.05462643186114668,0.7085588334790673,0.7503788831478221,0.06666666666666667,0.21166666666666667,0.3075,0.667739643232706,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,hgb,random,9,48000,12000,5,0,0.11019012784082124,0.05443410211678122,0.7108626530849987,0.7750376562076042,0.05,0.185,0.2733333333333333,0.6533634071668528,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,randomforest,random,9,48000,12000,5,0,0.12178306850574813,0.06302880290340163,0.6468228131810752,0.7543127392836787,0.041666666666666664,0.15166666666666667,0.22,0.6300220507586017,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
ARC-MOF::ARC-MOF adsorption task table::post_comb_vsa_n2.csv,wt%,extratrees,random,9,48000,12000,5,0,0.13831846555265578,0.0704634701866453,0.5444047970672297,0.7486006857229441,0.03333333333333333,0.145,0.22416666666666665,0.6324603690843036,False,table_local_non_descriptor,uptake_or_loading,,,,,,,
